SessionTime,SessionTitle,Room,Chair,join_key,SessionID,OrderInSchedule
"Mon, Jul 28 15:30–17:30",Track J: Technical Session 12 - PDEs and SDEs,WH 115,Håkon Hoel,technical session 12,T12,17
"Mon, Jul 28 17:30–19:30",Welcome Reception,HH Lobby,,,,18
,,HH Lobby,,,,19
"Tue, Jul 29 08:30–17:30",Registration Desk Open,HH Lobby,,,,20
"Tue, Jul 29 09:00–10:00","Plenary Talk by Peter Glynn, Stanford U, Combining Simulation and Linear Algebra: COSIMLA",HH Auditorium,Chang-Han Rhee,peter glynn,P3,21
"Tue, Jul 29 10:00–10:30",Coffee Break,HH Lobby,,,,22
"Tue, Jul 29 10:30–12:30","Track A: Stochastic Computation and Complexity, Part III",HH Auditorium,Leszek Plaskota,stochastic computation and complexity part iii,S8,23
"Tue, Jul 29 10:30–12:30","Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I",HH Ballroom,Alen Alexanderian,next generation optimal experimental design theory scalability and real world impact part i,S9,24
"Tue, Jul 29 10:30–12:30",Track C: Heavy-tailed Sampling,HH 002,Sebastiano Grazzi,heavy tailed sampling,S10,25
"Tue, Jul 29 10:30–12:30","Track D: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part I",WH Auditorium,Sou-Cheng Choi,frontiers in quasi monte carlo and markov chain monte carlo methods part i,S11,26
"Tue, Jul 29 10:30–12:30",Track E: Technical Session 2 - Bayesian Methods,WH 115,Hamza Ruzayqat,technical session 2,T2,27
"Tue, Jul 29 12:30–14:00",Lunch Break,On your own,,,,28
"Tue, Jul 29 14:00–15:00","Plenary Talk by Roshan Joseph, Georgia Institute of Technology, Sensitivity and Screening: From Monte Carlo to Experimental Design",HH Auditorium,Simon Mak,roshan joseph,P4,29
"Tue, Jul 29 15:00–15:30",Coffee Break,HH Lobby,,,,30
"Tue, Jul 29 15:30–17:30","Track F: Stochastic Computation and Complexity, Part IV",HH Auditorium,Thomas Müller-Gronbach,stochastic computation and complexity part iv,S12,31
"Tue, Jul 29 15:30–17:30","Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II",HH Ballroom,Xun Huan,next generation optimal experimental design theory scalability and real world impact part ii,S13,32
"Tue, Jul 29 15:30–17:30",Track H: Advances in Rare Events Simulation,HH 002,Shyam Mohan Subbiah Pillai,advances in rare events simulation,S14,33
"Tue, Jul 29 15:30–17:30","Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II",WH Auditorium,Yuhan Ding,frontiers in quasi monte carlo and markov chain monte carlo methods part ii,S15,34
"Tue, Jul 29 15:30–17:30","Track J: Technical Session 5 - Quasi-Monte Carlo, Part II",WH 115,Christian Weiss,technical session 5,T5,35
"Tue, Jul 29 18:00–20:00",Chicago White Sox vs. Philadelphia Phillies (must purchase tickets beforehand),Meet in HH Lobby,,,,36
"Wed, Jul 30 08:30–16:30",Registration Desk Open,HH Lobby,,,,37
"Wed, Jul 30 09:00–10:00","Plenary Talk by Michaela Szölgyenyi, U of Klagenfurt, An optimal transport approach to quantifying model uncertainty of SDEs",HH Auditorium,Gunther Leobacher,michaela szölgyenyi,P5,38
"Wed, Jul 30 10:00–10:30",Coffee Break,HH Lobby,,,,39
"Wed, Jul 30 10:30–12:30","Track A: Stochastic Computation and Complexity, Part V",HH Auditorium,Andreas Neuenkirch,stochastic computation and complexity part v,S16,40
"Wed, Jul 30 10:30–12:30",Track B: Statistical Design of Experiments,HH Ballroom,Simon Mak,statistical design of experiments,S17,41
"Wed, Jul 30 10:30–12:30",Track C: Advances in Adaptive Hamiltonian Monte Carlo,HH 002,Art Owen,advances in adaptive hamiltonian monte carlo,S18,42
"Wed, Jul 30 10:30–12:30",Track D: Technical Session 15 - Simulation,WH Auditorium,Toon Ingelaere,technical session 15,T15,43
"Wed, Jul 30 10:30–12:30",Track E: Technical Session 6 - Sampling,WH 115,Nicola Branchini,technical session 6,T6,44
"Wed, Jul 30 12:30–14:00",Lunch Break,On your own,,,,45
"Wed, Jul 30 14:00–16:00",Track F: Stochastic Optimization,HH Auditorium,Shane Henderson,stochastic optimization,S19,46
"Wed, Jul 30 14:00–16:00",Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications,HH Ballroom,Haotian Jiang,recent progress on algorithmic discrepancy theory and applications,S20,47
"Wed, Jul 30 14:00–16:00","Track H: Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science",HH 002,Michael Mascagni,monte carlo applications in high performance computing computer graphics and computational science,S21,48
"Wed, Jul 30 14:00–16:00",Track I: Technical Session 16 - Statistics,WH Auditorium,Yiming Xu,technical session 16,T16,49
"Wed, Jul 30 16:00–16:30",Coffee Break,HH Lobby,,,,50
"Wed, Jul 30 18:00–20:30",Conference Banquet,"Bridgeport Art Center, 1200 W 35th Street",,,,51
"Thu, Jul 31 08:30–17:30",Registration Desk Open,HH Lobby,,,,52
"Thu, Jul 31 09:00–10:00","Plenary Talk by Uros Seljak, UC Berkeley, Gradient-Based MCMC Sampling: Methods and Optimization Strategies",HH Auditorium,Tim Hobbs,uros seljak,P6,53
"Thu, Jul 31 10:00–10:30",Coffee Break,HH Lobby,,,,54
"Thu, Jul 31 10:30–12:30",Track A: QMC and Applications Part I,HH Auditorium,Michael Gnewuch,qmc and applications part i,S22,55
"Thu, Jul 31 10:30–12:30","Track B: Analysis of Langevin and Related Sampling Algorithms, Part I",HH Ballroom,Xiaoou Cheng,analysis of langevin and related sampling algorithms part i,S23,56
"Thu, Jul 31 10:30–12:30","Track C: Nested expectations: models and estimators, Part II",HH 002,Abdul-Lateef Haji-Ali,nested expectations models and estimators part ii,S24,57
"Thu, Jul 31 10:30–12:30",Track D: Technical Session 8 - Finance,WH Auditorium,Aleksei Sorokin,technical session 8,T8,58
"Thu, Jul 31 10:30–12:30",Track E: Technical Session 13 - ML \& Optimization,WH 115,Frédéric Blondeel,technical session 13,T13,59
"Thu, Jul 31 12:30–14:00",Lunch Break,On your own,,,,60
"Thu, Jul 31 14:00–15:00","Plenary Talk by Nicolas Chopin, Institut Polytechnique de Paris, Saddlepoint Monte Carlo and its application to exact ecological inference",HH Auditorium,Bruno Tuffin,nicolas chopin,P7,61
"Thu, Jul 31 15:00–15:30",Coffee Break,HH Lobby,,,,62
"Thu, Jul 31 15:30–17:30",Track F: QMC and Applications Part II,HH Auditorium,Takashi Goda,qmc and applications part ii,S25,63
"Thu, Jul 31 15:30–17:30","Track G: Analysis of Langevin and Related Sampling Algorithms, Part II",HH Ballroom,Yifan Chen,analysis of langevin and related sampling algorithms part ii,S26,64
"Thu, Jul 31 15:30–17:30",Track H: Recent Advances in Stochastic Gradient Descent,HH 002,Jing Dong,recent advances in stochastic gradient descent,S27,65
"Thu, Jul 31 15:30–17:30",Track I: Technical Session 7 - Sampling,WH Auditorium,Joonha Park,technical session 7,T7,66
"Thu, Jul 31 15:30–17:30",Track J: Technical Session 11 - SDEs,WH 115,Fabio Zoccolan,technical session 11,T11,67
"Thu, Jul 31 18:30–20:30",Steering Committee Meeting (by invitation),"Mikami Izakaya \& Ramen, 1400 S Michigan Ave",,,,68
"Thu, Jul 31 19:00–late",Early Career Dinner,"Time Out Market, 916 W Fulton Market",,,,69
"Fri, Aug 1 08:30–12:15",Registration Desk Open,HH Lobby,,,,70
"Fri, Aug 1 09:00–11:00",Track A: Forward and Inverse Problems for Stochastic Reaction Networks,HH Auditorium,Sophia Münker,forward and inverse problems for stochastic reaction networks,S28,71
"Fri, Aug 1 09:00–11:00","Track B: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II",HH Ballroom,Pieterjan Robbe,hardware or software for quasi monte carlo algorithms part ii,S29,72
"Fri, Aug 1 09:00–11:00",Track C: Technical Session 3 - Simulation,HH 002,Nicole Aretz,technical session 3,T3,73
"Fri, Aug 1 09:00–11:00",Track D: Technical Session 9 - Sampling and Markov Chain Monte Carlo,WH Auditorium,Soumyadip Ghosh,technical session 9,T9,74
"Fri, Aug 1 11:00–11:30",Coffee Break,HH Lobby,,,,75
"Fri, Aug 1 11:30–12:30","Plenary Talk by Veronika Ročková, U of Chicago, AI-Powered Bayesian Inference",HH Auditorium,Art B. Owen,veronika ročková,P8,76
"Fri, Aug 1 12:30–12:40",Closing Ceremony,HH Auditorium,Fred Hickernell,,,77
