Institution of presenter,Talk Title,FirstNameLastNameAbstract.tex file with Talk Title and Abstract,Special Session Title,Presenter,IsSpecialSession,join_key,SessionTime,SessionID,SessionTitle
INRIA Chile,Domain Uncertainty Quantification for Electromagnetic Wave Scattering via First-Order Sparse Boundary Element Approximation,https://drive.google.com/open?id=1pLr0Fh41a7MEGgqhlPhokk8R3yhuMdf0,Domain Uncertainty Quantification,Carlos Jerez-Hanckes,1,domain uncertainty quantification,"Mon, Jul 28 10:30–12:30",S2,Track B: Domain Uncertainty Quantification
University of Chicago,Algorithmic Discrepancy Theory: An Overview,https://drive.google.com/open?id=1Un0Nq-2kc2Zwv3fXWaAOJ2SWWU5Ki2bY,Recent Progress on Algorithmic Discrepancy Theory and Applications,Haotian Jiang,1,recent progress on algorithmic discrepancy theory and applications,"Wed, Jul 30 14:00–16:00",S20,Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications
Free University of Berlin,QMC for Bayesian optimal experimental design with application to inverse problems governed by PDEs,https://drive.google.com/open?id=1cPcAzkrK1ccODetDzN7YPDFSD8oXW3DK,"Nested expectations: models and estimators, Part I",Vesa Kaarnioja,1,nested expectations models and estimators part i,"Mon, Jul 28 10:30–12:30",S3,"Track C: Nested expectations: models and estimators, Part I"
"Faculty of Mathematics, Technische Universität Chemnitz",Quantum Integration in Tensor Product  Besov Spaces,https://drive.google.com/open?id=1mBWim2LdvNgb9aGb5SxWEr5l1615zSCt,"Stochastic Computation and Complexity, Part V",Bernd Käßemodel,1,stochastic computation and complexity part v,"Wed, Jul 30 10:30–12:30",S16,"Track A: Stochastic Computation and Complexity, Part V"
Illinois Institute of Technology,Minimizing the Stein Discrepancy,https://drive.google.com/open?id=14Et_K-U7wHyww3Xur0ivp2TzLapgeu7A,Computational Methods for Low-discrepancy Sampling and Applications,Nathan Kirk,1,computational methods for low discrepancy sampling and applications,"Mon, Jul 28 15:30–17:30",S7,Track H: Computational Methods for Low-discrepancy Sampling and Applications
Heidelberg University,Subspace accelerated measure transport methods for fast and scalable sequential experimental design,https://drive.google.com/open?id=1MuvChGn6IF51zqvKA64ooO_X9Kh1Q35n,Recent advances in optimization under uncertainty,Karina Koval,1,recent advances in optimization under uncertainty,"Mon, Jul 28 15:30–17:30",S6,Track G: Recent advances in optimization under uncertainty
University of Notre Dame,Hybrid Monte Carlo methods for kinetic transport,https://drive.google.com/open?id=1thuTMqonkedefMw6jo8NwRWxVUpilmx1,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II",Johannes Krotz,1,hardware or software for quasi monte carlo algorithms part ii,"Fri, Aug 1 09:00–10:30",S29,"Track B: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II"
Karlsruhe Institute of Technology,Double-loop randomized quasi-Monte Carlo estimator for nested integration,https://drive.google.com/open?id=1PpEfRc1An1O-1TQahXG0TFNGufQH221x,"Nested expectations: models and estimators, Part I",Sebastian Krumscheid,1,nested expectations models and estimators part i,"Mon, Jul 28 10:30–12:30",S3,"Track C: Nested expectations: models and estimators, Part I"
"UNSW Sydney, Australia",Application of QMC to Oncology,https://drive.google.com/open?id=1mqJ7JkOZr0IwiDg_Iw94SRFtNPIySSaB,QMC and Applications Part I,Frances Y. Kuo,1,qmc and applications part i,"Thu, Jul 31 10:30–12:30",S22,Track A: QMC and Applications Part I
University of Graz,Tractability of $L_2$-approximation and integration in weighted Hermite spaces of finite smoothness,https://drive.google.com/open?id=1QdzGXmEt_DxhFXyg__Z0PcjQijhhQjda,"Stochastic Computation and Complexity, Part IV",Gunther Leobacher,1,stochastic computation and complexity part iv,"Tue, Jul 29 15:30–17:30",S12,"Track F: Stochastic Computation and Complexity, Part IV"
University of Augsburg,Quantitative approximation of stochastic kinetic equations: from discrete to continuum,https://drive.google.com/open?id=1_-74V66nUmgmIHptlgSimIBiEQMFR7UA,"Stochastic Computation and Complexity, Part I",Chengcheng Ling,1,stochastic computation and complexity part i,"Mon, Jul 28 10:30–12:30",S1,"Track A: Stochastic Computation and Complexity, Part I"
Durham University,Scalable and User-friendly QMC Sampling with UMBridge,https://drive.google.com/open?id=1IdJ5jH0IW9zIMDCzmsjL1gip_6JKz_0h,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",Chung Ming Loi,1,hardware or software for quasi monte carlo algorithms part i,"Mon, Jul 28 10:30–12:30",S4,"Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I"
Duke University,Respecting the boundaries: Space-filling designs for surrogate modeling with boundary information,https://drive.google.com/open?id=1z7ht5t7SlgGeN7Izxgn1qqoTKkPFfxp9,Statistical Design of Experiments,Simon Mak,1,statistical design of experiments,"Wed, Jul 30 10:30–12:30",S17,Track B: Statistical Design of Experiments
KTH Royal Institute of Technology,A large deviation principle for Metropolis-Hastings sampling,https://drive.google.com/open?id=1tNvbJO_pXYzPyb4QpklZq4dxdk48lCf4,Heavy-tailed Sampling,Federica Milinanni,1,heavy tailed sampling,"Tue, Jul 29 10:30–12:30",S10,Track C: Heavy-tailed Sampling
Georgia Institute of Technology,Randomized quasi-Monte Carlo methods for risk-averse stochastic optimization,https://drive.google.com/open?id=1lxwaTmUtun_3-rfv5XJPCRkKMeolubF5,Recent advances in optimization under uncertainty,Johannes Milz,1,recent advances in optimization under uncertainty,"Mon, Jul 28 15:30–17:30",S6,Track G: Recent advances in optimization under uncertainty
Yale University,Convergence of Φ-Divergence and Φ-Mutual Information Along Langevin Markov Chains,https://drive.google.com/open?id=1Rt6eIfKNymr7dGMS4BUP5GdCszBKA0b8,"Analysis of Langevin and Related Sampling Algorithms, Part II",Siddharth Mitra,1,analysis of langevin and related sampling algorithms part ii,"Thu, Jul 31 15:30–17:30",S26,"Track G: Analysis of Langevin and Related Sampling Algorithms, Part II"
New York University,ATLAS: Adapting Trajectory Lengths and Step-Size for Hamiltonian Monte Carlo,https://drive.google.com/file/d/1DvyUKyyZdephewKgIeXkq-AcGUiypUjQ/view?usp=share_link,Advances in Adaptive Hamiltonian Monte Carlo,Chirag Modi,1,advances in adaptive hamiltonian monte carlo,"Wed, Jul 30 10:30–12:30",S18,Track C: Advances in Adaptive Hamiltonian Monte Carlo
RWTH Aachen University,Dimensionality Reduction for Efficient Rare Event Estimation,https://drive.google.com/open?id=18oqaBlRGoqXijYSfCgElL9RrvKge3ges,Forward and Inverse Problems for Stochastic Reaction Networks,Sophia Münker,1,forward and inverse problems for stochastic reaction networks,"Fri, Aug 1 09:00–10:30",S28,Track A: Forward and Inverse Problems for Stochastic Reaction Networks
University of Mannheim,A strong order 1.5 boundary preserving discretization scheme for scalar SDEs defined in a domain,https://drive.google.com/open?id=1dbG9JXHhR161J1AQWqI45Mob_eJNusAU,"Stochastic Computation and Complexity, Part I",Andreas Neuenkirch,1,stochastic computation and complexity part i,"Mon, Jul 28 10:30–12:30",S1,"Track A: Stochastic Computation and Complexity, Part I"
University of Toronto,Online Factorization for Online Discrepancy Minimization,https://drive.google.com/open?id=1x68dWQJOtZUkdIR4sDeqgPHUgmsSjhi-,Recent Progress on Algorithmic Discrepancy Theory and Applications,Aleksandar Nikolov,1,recent progress on algorithmic discrepancy theory and applications,"Wed, Jul 30 14:00–16:00",S20,Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications
University of Pennsylvania,Boosting the inference for generative models by (Quasi-)Monte Carlo resampling,https://drive.google.com/open?id=1fcwLN6cs_bie87TYbhaUQVd4SfG6YU6b,"Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II",Ziang Niu,1,frontiers in quasi monte carlo and markov chain monte carlo methods part ii,"Tue, Jul 29 15:30–17:30",S15,"Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II"
"KU Leuven, Belgium",Approximation of multivariate periodic functions,https://drive.google.com/open?id=19JCpj-0NcoqNNmxnUnNAKlkMrBjvnI2w,QMC and Applications Part II,Dirk Nuyens,1,qmc and applications part ii,"Thu, Jul 31 15:30–17:30",S25,Track F: QMC and Applications Part II
University of Bonn,Accelerated Mixing of the No-U-turn Sampler,https://drive.google.com/open?id=1NHuMeGMCyq81nhLa4zuo7-uz-Gz3RvNR,"Analysis of Langevin and Related Sampling Algorithms, Part II",Stefan Oberdörster,1,analysis of langevin and related sampling algorithms part ii,"Thu, Jul 31 15:30–17:30",S26,"Track G: Analysis of Langevin and Related Sampling Algorithms, Part II"
Stanford University,Randomized QMC with one categorical variable,https://drive.google.com/open?id=1LgDsRbdX9z9PavjwykhkZ25fBbXNv0Lr,"QMC and Applications, Part II",Art Owen,1,qmc and applications part ii,"Thu, Jul 31 15:30–17:30",S25,Track F: QMC and Applications Part II
Johann Radon Institute for Computational and Applied Mathematics,QMC confidence intervals using quantiles of randomized nets,https://drive.google.com/open?id=18eGjDj7zwCeVS6clMaHfDnD3CbtotogU,QMC and Applications Part II,Zexin Pan,1,qmc and applications part ii,"Thu, Jul 31 15:30–17:30",S25,Track F: QMC and Applications Part II
"University of Warsaw, Poland",Complexity of approximating piecewise smooth functions in the presence of deterministic or random noise,https://drive.google.com/open?id=1iKANrWZJrn24hFRS5ZEYckKE14vTr3zh,"Stochastic Computation and Complexity, Part II",Leszek Plaskota,1,stochastic computation and complexity part ii,"Mon, Jul 28 15:30–17:30",S5,"Track F: Stochastic Computation and Complexity, Part II"
Institute of Mathematics of NAS of Ukraine; Chemnitz University of Technology,Optimal designs for function discretization and construction of tight frames,https://drive.google.com/open?id=15UPETkdBYFDBFK7Rx1Vu04DCdhl5T1rE,"Stochastic Computation and Complexity, Part II",Kateryna Pozharska,1,stochastic computation and complexity part ii,"Mon, Jul 28 15:30–17:30",S5,"Track F: Stochastic Computation and Complexity, Part II"
University of Maryland Baltimore County,State and parameter inference in stochastic reaction networks,https://drive.google.com/open?id=1Yl5T9Ac8XJ_Yt1PPM5icOcllg15mYhhC,Forward and Inverse Problems for Stochastic Reaction Networks,Muruhan Rathinam,1,forward and inverse problems for stochastic reaction networks,"Fri, Aug 1 09:00–10:30",S28,Track A: Forward and Inverse Problems for Stochastic Reaction Networks
University of Passau,An adaptive Milstein-type method for strong approximation of systems of SDEs with a discontinuous drift coefficient,https://drive.google.com/open?id=1Ods2b-lh92rzC1ep4tBh1Okt64fXG4Hp,"Stochastic Computation and Complexity, Part I",Christopher Rauhögger,1,stochastic computation and complexity part i,"Mon, Jul 28 10:30–12:30",S1,"Track A: Stochastic Computation and Complexity, Part I"
EPFL,Stochastic gradient with least-squares control variates,https://drive.google.com/open?id=11RSlkePn6AbxhlNwAMunYgOkSRfN-s-t,"Nested expectations: models and estimators, Part II",Matteo Raviola,1,nested expectations models and estimators part ii,"Thu, Jul 31 10:30–12:30",S24,"Track C: Nested expectations: models and estimators, Part II"
Sandia National Laboratories,Multilevel quasi-Monte Carlo without replications,https://drive.google.com/open?id=1DUqJ7ZUyTpfNluUtORbKo1-m3D-7ZrfL,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",Pieterjan Robbe,1,hardware or software for quasi monte carlo algorithms part i,"Mon, Jul 28 10:30–12:30",S4,"Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I"
University of Edinburgh & National Technical University of Athens & Archimedes/Athena,Wasserstein Convergence of Score-based Generative Models under Semiconvexity and Discontinuous Gradients,https://drive.google.com/open?id=1rJoXrzC7KNMb4rk6XTMvUmUecSAIyQWA,"Stochastic Computation and Complexity, Part III",Sotirios Sabanis,1,stochastic computation and complexity part iii,"Tue, Jul 29 10:30–12:30",S8,"Track A: Stochastic Computation and Complexity, Part III"
University of Klagenfurt,Stong order 1 adaptive approximation of jump-diffusion SDEs with discontinuous drift,https://drive.google.com/open?id=1ges1OxQipcfTBCWFlqT18Ko-gh3CyFyw,"Stochastic Computation and Complexity, Part I",Verena Schwarz,1,stochastic computation and complexity part i,"Mon, Jul 28 10:30–12:30",S1,"Track A: Stochastic Computation and Complexity, Part I"
Universite de Montreal,An Empirical Evaluation of Robust Estimators for RQMC,https://drive.google.com/open?id=1wnghhloTSStzEFbrSr5Zi48xt3zWnc9Z,Computational Methods for Low-discrepancy Sampling and Applications,Gregory Seljak,1,computational methods for low discrepancy sampling and applications,"Mon, Jul 28 15:30–17:30",S7,Track H: Computational Methods for Low-discrepancy Sampling and Applications
